wardcode,wardname,constituencycode,constituencyname
95N 12,Tavanagh,N06000017,Upper Bann
95T 06,Templepatrick,N06000014,South Antrim
95L 07,Tempo,N06000007,Fermanagh and South Tyrone
95K 11,Termon,N06000018,West Tyrone
95N 01,The Birches,N06000017,Upper Bann
95Q 17,The Cut,N06000017,Upper Bann
95C 16,The Cuts,N06000006,East Londonderry
95A 18,The Diamond,N06000008,Foyle
95B 07,The Highlands,N06000006,East Londonderry
95I 09,The Loop,N06000010,Mid Ulster
95O 21,The Mall,N06000011,Newry and Armagh
95Z 11,The Mount,N06000001,Belfast East
95D 12,The Vow,N06000012,North Antrim
95H 07,Tobermore,N06000010,Mid Ulster
95R 23,Tollymore,N06000015,South Down
95S 15,Tonagh,N06000009,Lagan Valley
95T 01,Toome,N06000014,South Antrim
95F 07,Town Parks,N06000005,East Antrim
95H 16,Town Parks East,N06000010,Mid Ulster
95H 14,Town Parks West,N06000010,Mid Ulster
95K 01,Trillick,N06000018,West Tyrone
95I 14,Tullagh,N06000010,Mid Ulster
95Y 06,Tullycarnet,N06000001,Belfast East
95P 23,Tullyhappy,N06000011,Newry and Armagh
95S 27,Twinbrook,N06000004,Belfast West
95C 11,University,N06000006,East Londonderry
95Y 08,Upper Braniel,N06000001,Belfast East
95B 04,Upper Glenshane,N06000006,East Londonderry
95Z 16,Upper Malone,N06000003,Belfast South
95Z 30,Upper Springfield,N06000004,Belfast West
95H 02,Upperlands,N06000010,Mid Ulster
95H 03,Valley,N06000010,Mid Ulster
95U 25,Valley,N06000002,Belfast North
95A 12,Victoria,N06000008,Foyle
95V 06,Victoria,N06000005,East Antrim
95J 06,Victoria Bridge,N06000018,West Tyrone
95S 19,Wallace Park,N06000009,Lagan Valley
95N 06,Waringstown,N06000017,Upper Bann
95M 11,Washing Bay,N06000010,Mid Ulster
95Z 42,Water Works,N06000002,Belfast North
95C 18,Waterside,N06000006,East Londonderry
95J 13,West,N06000018,West Tyrone
95A 19,Westland,N06000008,Foyle
95V 02,Whitehead,N06000005,East Antrim
95W 11,Whitehill,N06000013,North Down
95U 24,Whitehouse,N06000002,Belfast North
95Z 31,Whiterock,N06000004,Belfast West
95X 11,Whitespots,N06000016,Strangford
95Z 22,Windsor,N06000003,Belfast South
95P 14,Windsor Hill,N06000011,Newry and Armagh
95V 13,Woodburn,N06000005,East Antrim
95Z 12,Woodstock,N06000003,Belfast South
95Z 35,Woodvale,N06000002,Belfast North
95N 19,Woodville,N06000017,Upper Bann
95Y 16,Wynchurch,N06000003,Belfast South
